"","","inflos_ER","inflos_PS","inflos_EH"
"1",17366,219.751606581895,206.439542244803,990.466998540269
"2",17367,219.738837894887,206.378305146243,922.68139622653
"3",17368,219.136310245818,206.267789110259,916.794430070957
"4",17369,219.02911382193,206.223038431648,857.628342017289
"5",17370,218.861364008063,206.181281651229,893.039206878484
"6",17371,365.418758403067,206.166817028034,742.890331577337
"7",17372,437.860081818865,206.163318080096,684.827568091926
"8",17373,583.280031446241,257.670280917935,562.991792363444
"9",17374,583.276674653105,309.27372809624,495.477556212802
"10",17375,729.753138784001,308.807631362802,531.040555779077
"11",17376,802.952106394215,308.166392635977,488.011518541768
"12",17377,876.228793891834,307.801320675273,653.305170238777
"13",17378,873.160506256662,306.633263820812,852.330321931683
"14",17379,873.041608349162,299.761300319547,779.941578676563
"15",17380,1165.66259520486,399.300951904816,1590.43120686431
"16",17381,1164.73374369719,438.972869152181,1651.07550088471
"17",17382,1382.36170303444,551.382048875074,1693.49330831676
"18",17383,1381.73833516799,553.502319203345,1643.76524546457
"19",17384,1380.67539995873,607.379536223722,1640.28247397985
"20",17385,1595.79931256948,714.87588982874,2280.67185529458
"21",17386,1595.77914890459,734.561382244559,2259.61463112315
"22",17387,1595.75836644453,688.465379584844,2318.03000760401
"23",17388,1742.3219670592,637.978096809545,2385.37735921151
"24",17389,1815.46398073396,641.043562925134,2384.34783711776
"25",17390,1888.14252894085,590.159993768723,2374.50730777056
"26",17391,1887.8949379341,568.844801286891,2373.88253695667
"27",17392,1887.8195455449,543.000848763137,2369.01873703691
"28",17393,1887.43799529166,504.866178845462,2367.78252960226
"29",17394,1882.67651379654,468.698221513597,2363.43513833838
"30",17395,1878.67918964526,420.078629039718,2291.66944622342
"31",17396,2021.70626096964,580.627674374522,2434.07637468144
"32",17397,2051.68429778163,590.81125047444,2431.39631796053
"33",17398,1976.69402654305,616.028413150315,2501.81092958935
"34",17399,1982.9167175636,591.682741587886,2643.27923535109
"35",17400,1905.90927711459,633.625015042248,2711.87937355055
"36",17401,1901.04019309359,680.442919202379,2853.90133225238
"37",17402,1828.67143635928,678.707227205722,2996.34278784789
"38",17403,1819.38586795689,677.754777398136,2924.65903538897
"39",17404,1874.05644883473,677.63160292997,3138.2797614827
"40",17405,1787.11705817836,725.095283410093,3138.22324202689
"41",17406,1696.34794274953,776.612241580787,3138.08607649212
"42",17407,1649.37319663961,775.663207029933,3138.06071617529
"43",17408,1576.88248584767,774.932740913402,3138.05792212582
"44",17409,1488.70753282119,774.869546518184,3137.71575799802
"45",17410,1572.2750707579,877.885413058474,3280.12861066139
"46",17411,1581.75145155964,877.759237041492,3350.9484831184
"47",17412,1619.67244987985,877.717858767536,3350.55590813846
"48",17413,1688.41696292316,1239.07718579746,3563.57979615362
"49",17414,1760.22241039438,1290.59019589751,3633.95064929715
"50",17415,1758.76823717259,1290.58813219977,3632.32334331834
"51",17416,1905.33225693697,1445.45870806375,3632.32334331834
"52",17417,1978.61426681916,1961.69396094366,3917.21144867664
"53",17418,1978.61426681916,2013.31748623165,4059.65550135579
"54",17419,1978.61426681916,2168.18806209562,4130.87752769537
"55",17420,1978.61426681916,2374.68216324758,4486.98765939324
"56",17421,1978.61426681916,2477.92921382356,4629.43171207239
"57",17422,1612.20421740821,2426.30568853557,3917.21144867664
"58",17423,1612.20421740821,2426.30568853557,3917.21144867664
"59",17424,1612.20421740821,2426.30568853557,3917.21144867664
"60",17425,1612.20421740821,2426.30568853557,3845.98942233706
"61",17426,1612.20421740821,2529.55273911156,3845.98942233706
"62",17427,1612.20421740821,2529.55273911156,3845.98942233706
"63",17428,1612.20421740821,2529.55273911156,3845.98942233706
"64",17429,1245.79416799725,2323.05863795959,3418.65726429961
"65",17430,1245.79416799725,2271.4351126716,3347.43523796004
"66",17431,1245.79416799725,2271.4351126716,3347.43523796004
"67",17432,1245.79416799725,2271.4351126716,3276.21321162046
"68",17433,1245.79416799725,2271.4351126716,3276.21321162046
"69",17434,1245.79416799725,2271.4351126716,3276.21321162046
"70",17435,1099.23014823287,2064.94101151964,2065.43876384768
"71",17436,1099.23014823287,2064.94101151964,2065.43876384768
"72",17437,1099.23014823287,2064.94101151964,2065.43876384768
"73",17438,1099.23014823287,2064.94101151964,2065.43876384768
"74",17439,1099.23014823287,2064.94101151964,2065.43876384768
"75",17440,1099.23014823287,2064.94101151964,2065.43876384768
"76",17441,1099.23014823287,2064.94101151964,2065.43876384768
"77",17442,439.692059293147,1600.32928392772,1139.5524214332
"78",17443,439.692059293147,1600.32928392772,1139.5524214332
"79",17444,439.692059293147,1600.32928392772,1139.5524214332
"80",17445,439.692059293147,1600.32928392772,1139.5524214332
