"id","ER","PS","EH"
"1",0,396.56143227013,471.785682155544
"2",0,790.591577965419,937.888830019417
"3",0,829.992064656418,963.564520164583
"4",0,870.845491868129,989.666633926288
"5",0,914.125136368107,1016.58772996302
"6",0,958.263397213356,1043.66546309411
"7",0,1004.76464186194,1072.24338075453
"8",0,1093.88448206352,1076.90513391335
"9",0,1183.47052452909,1081.85500047409
"10",0,1273.91676327427,1086.57765635895
"11",0,1364.80367829804,1091.50564518396
"12",0,1455.98701421714,1096.55536254341
"13",0,1546.72374978136,1101.68265253008
"14",0,1637.80450626557,1106.86106248314
"15",0,1827.18573117815,1151.69831793704
"16",0,2016.78220784807,1196.24917933013
"17",0,2198.99939699365,1241.73233180621
"18",0,2063.76507052088,907.353037802946
"19",0,1933.47368966575,577.744475010141
"20",0,2094.40622788898,610.44345950935
"21",0,2259.66877576034,652.586841493858
"22",0,2422.0241261856,656.913620583278
"23",0,2583.28091523802,661.542474569124
"24",0.537499580281068,2741.78421383657,662.869837381647
"25",4.98943092904983,2865.26574282074,683.377809040896
"26",9.99039946433964,2988.16888397376,703.020076430793
"27",15.5470714641911,3109.54492432598,722.398781102853
"28",17.6094910987031,3189.91561366437,739.986562310008
"29",19.7803249922451,3068.1158566387,757.12770821772
"30",21.2581550805727,2947.92508577905,1104.04996096158
"31",21.1033347710333,2824.78903378446,1272.63598562642
"32",31.0180550165135,2619.83298269455,1207.19338113167
"33",43.1141636372061,2412.09509214363,1143.97916391408
"34",55.3308814794972,2209.24131802793,1078.73356337978
"35",67.6377695554921,2004.20332550323,1012.54416149678
"36",79.9872173294551,1796.47502558801,945.740136018088
"37",90.7698424764019,1588.8625053281,878.158930337371
"38",101.517384659805,1381.62401136461,808.040887810664
"39",110.888262407029,1175.65734538382,767.703368330333
"40",120.189057098404,970.55595501507,726.781140553116
"41",128.894408050088,766.799592743988,686.70765627685
"42",134.243919386398,564.424124694208,645.81278666078
"43",155.273701597428,363.206537980226,604.48951509778
"44",175.716289134833,164.332336977404,562.263068554199
"45",198.838763476147,0,520.055548991813
"46",227.351024711465,0,476.832511123397
"47",256.096054862748,0,167.011316942138
"48",286.021540025352,0,0
"49",307.433398268492,0,0
"50",326.964093006114,0,0
"51",436.759442550513,0,0
"52",546.572925218224,0,0
"53",648.513653438191,0,0
"54",653.470178690749,0,0
"55",638.754613229476,0,0
"56",625.123173159784,0,0
"57",611.08530042113,0,0
"58",596.663562704406,0,0
"59",581.863495419653,0,0
"60",553.534888519989,0,0
"61",524.815775678347,0,0
"62",495.950340429889,0,0
"63",462.429560543935,0,0
"64",428.884218656456,0,0
"65",395.249324014095,0,0
"66",361.746865614283,0,0
"67",328.151568147029,0,0
"68",221.827073507356,33.7966233634298,0
"69",115.620048654586,110.24821807037,0
"70",17.402637829906,182.110415920102,0
"71",0,203.151391835904,0
"72",0,220.236938411733,0
"73",0,233.761026101214,0
"74",0,236.584951938764,0
"75",0,234.949841203289,0
"76",0,233.201432725151,0
"77",0,231.238626181639,0
"78",0,229.046238576346,0
"79",0,226.60976018389,7.45744158356038
"80",0,223.915662652641,44.270270463092
