"","inflos_ER","inflos_PS","inflos_EH"
"1",19.3361863340303,690.964877802785,782.51395503868
"2",11.5276887974502,673.785685290073,626.433792164208
"3",14.4846091901469,606.987844104233,520.413007117129
"4",-3.26403876970535,574.178397487815,533.664960908225
"5",7.82624837665008,574.012370188766,533.519801388696
"6",-8.43089789315704,533.97031327117,648.750458083363
"7",-17.5224368904205,523.620089191258,626.210409140409
"8",14.864180372224,518.488621353324,617.991634522019
"9",-2.1648057111772,496.585989000807,608.588722143886
"10",-7.94816154187294,1571.67992417546,691.797948354774
"11",0.730958897365047,2764.20457722686,636.391048951916
"12",41.2450633825438,2764.18427782451,632.151322178252
"13",31.4438240985353,2764.17511036861,717.506044927826
"14",44.8113252709572,2761.0734538877,835.988934794028
"15",58.8913773838839,2760.83131016196,887.013831878997
"16",73.1664005728141,2760.59597652859,946.801937361435
"17",73.1356345854651,2759.50556914163,1004.45057595038
"18",73.0020970289102,2759.47900926193,1004.41918127709
"19",72.9528196343979,2759.18731081406,1001.68760486802
"20",144.798433431124,2759.11750816831,1060.94624096366
"21",144.745887480773,2759.11741749106,1060.63739584773
"22",144.721162243221,2759.06258297181,1180.33114323881
"23",144.238839557786,2759.06154457891,1180.14025949933
"24",172.600050506896,2759.06045911615,1180.10786260967
"25",186.956125501801,2759.05134886572,1180.1077618009
"26",186.911564650826,2759.04856876793,1180.0622349725
"27",186.910359157973,2759.04384797469,1299.71410156546
"28",186.906869633217,2758.53876678051,1299.7134330497
"29",201.26464808355,2758.1386044687,1299.66734120298
"30",201.264318963232,2757.68002510172,1359.53581002708
"31",215.629886450567,2757.67993855545,1419.38360579727
"32",215.627697739499,2757.52213870802,1419.32456160954
"33",229.996916174815,2757.476787841,1479.17479296383
"34",244.366082998319,2757.45693038875,1479.17103888094
"35",273.100384129531,2752.16247258551,1479.16290673618
"36",301.838830069448,2732.22626128814,1478.89579104617
"37",344.946120139495,2707.83379303539,1478.84397939062
"38",359.315333194899,4564.04499654585,1472.02097559485
"39",388.049192773947,3997.38640784544,1472.00863328207
"40",388.046999363088,3581.21260660394,1468.31188100854
"41",402.411419946832,3302.79359264642,1462.61480208206
"42",402.411199027366,2927.66761926053,1458.05901808805
"43",402.410154761703,2900.79739671735,1440.93095715764
"44",402.410150947002,2502.73166666903,1327.28776713154
"45",402.41011453653,2094.14534069148,1325.13378054881
"46",416.752161166569,1855.22340912313,1241.91231108261
"47",445.487115643443,1600.87550337717,1142.25101801935
"48",445.487002699711,1065.99879755283,962.164953205878
"49",459.855876434009,568.546862395402,773.166017009316
"50",459.815187593458,0,538.818223038375
"51",459.815187593458,0,538.818223038375
"52",459.815187593458,0,538.818223038375
"53",488.55363681805,0,538.818223038375
"54",502.922861430345,0,538.818223038375
"55",502.922861430345,0,538.818223038375
"56",502.922861430345,0,538.818223038375
"57",330.492166082798,0,478.949531589667
"58",330.492166082798,0,478.949531589667
"59",330.492166082798,0,478.949531589667
"60",330.492166082798,0,478.949531589667
"61",330.492166082798,0,478.949531589667
"62",330.492166082798,0,478.949531589667
"63",330.492166082798,0,478.949531589667
"64",129.32302151066,0,119.737382897417
"65",129.32302151066,0,119.737382897417
"66",129.32302151066,0,119.737382897417
"67",129.32302151066,0,119.737382897417
"68",129.32302151066,0,119.737382897417
"69",129.32302151066,0,119.737382897417
"70",57.4768984491823,0,0
"71",57.4768984491823,0,0
"72",57.4768984491823,0,0
"73",57.4768984491823,0,0
"74",57.4768984491823,0,0
"75",57.4768984491823,0,0
"76",57.4768984491823,0,0
"77",0,0,0
