"","","ITA_ER","ITA_PS","ITA_EH"
"1",17366,216.869982035285,206.046755629944,64.4376079864173
"2",17367,216.866625242149,206.026677520258,0
"3",17368,216.779069608663,205.56058078682,35.562999566275
"4",17369,216.696027336685,204.919342059996,0
"5",17370,216.690704952113,204.554270099291,22.8495990178585
"6",17371,360.186437081324,203.38621324483,0
"7",17372,433.349549056015,196.514249743565,0
"8",17373,579.406516147327,244.430376040843,0
"9",17374,578.477664639663,284.102293288209,0
"10",17375,722.82361409472,241.640897147129,0
"11",17376,795.482256110462,192.137642187408,0
"12",17377,867.701330783395,142.767808631804,562.765225107449
"13",17378,862.979213747569,95.3935863728486,500.121196805202
"14",17379,789.677040200486,63.4555535006774,550.285998973341
"15",17380,1082.78429726919,120.606601416944,1392.14366518954
"16",17381,1082.78387811948,121.742843929636,1459.49101679704
"17",17382,1302.48991155863,228.055360621206,1600.90554738243
"18",17383,1301.88644988332,228.795316752786,1591.06501803523
"19",17384,1301.63885887657,310.727174846937,1590.44024722134
"20",17385,1521.40949613395,439.753798187155,2226.57468435776
"21",17386,1594.30995576289,453.242653557471,2225.33847692311
"22",17387,1589.54847426778,417.074696225606,2292.21311199881
"23",17388,1732.11516988087,368.455103751727,2291.66944622342
"24",17389,1801.86023132307,374.133573222558,2291.63232200229
"25",17390,1831.83826813506,332.693624034486,2288.95226528138
"26",17391,1756.84799689648,306.28726142237,2288.14485057062
"27",17392,1689.78867803483,281.941589859941,2287.16910365321
"28",17393,1612.78123758582,272.260338026311,2284.5472155131
"29",17394,1534.63014368264,267.454716898451,2284.12512153577
"30",17395,1462.26138694832,265.719024901795,2284.12252445214
"31",17396,1526.25782842813,471.260676246172,2354.88282467237
"32",17397,1507.64639942378,522.761027065997,2354.83747174737
"33",17398,1420.7070087674,570.22470754612,2426.00297863114
"34",17399,1403.21990322077,570.118140428823,2568.30986577551
"35",17400,1356.24515711085,620.79263116596,2639.50653179826
"36",17401,1357.03645620109,671.68569033742,2781.94779042795
"37",17402,1268.86150317462,671.622495942202,2924.0496789793
"38",17403,1279.14703122914,671.391311906511,2924.01847896351
"39",17404,1361.90542191306,671.265135889529,3137.28240409967
"40",17405,1326.54441035109,722.847282903563,3065.66780278015
"41",17406,1322.0069135122,774.465458205543,3065.0256117766
"42",17407,1320.53035110123,774.354943017602,3064.17443858054
"43",17408,879.384118586294,567.8587781679,2706.43700090386
"44",17409,879.384118586294,567.8587781679,2492.77092188513
"45",17410,1025.94813835068,671.105828743882,2635.21497456428
"46",17411,1099.23014823287,671.105828743882,2706.43700090386
"47",17412,1172.51215811506,671.105828743882,2777.65902724344
"48",17413,1245.79416799725,1032.47050575982,2991.32510626216
"49",17414,1319.07617787944,1084.09403104781,3062.54713260174
"50",17415,1319.07617787944,1135.7175563358,2421.54889554556
"51",17416,1465.64019764382,1290.58813219977,2635.21497456428
"52",17417,1538.92220752601,1806.82338507968,2920.10307992259
"53",17418,1538.92220752601,1858.44691036767,2991.32510626216
"54",17419,1538.92220752601,2013.31748623165,3062.54713260174
"55",17420,1538.92220752601,2219.81158738361,3418.65726429961
"56",17421,1538.92220752601,2323.05863795959,3561.10131697876
"57",17422,1172.51215811506,2219.81158738361,3347.43523796004
"58",17423,1172.51215811506,2168.18806209562,3276.21321162046
"59",17424,1172.51215811506,2168.18806209562,3276.21321162046
"60",17425,1172.51215811506,2168.18806209562,3204.99118528089
"61",17426,1172.51215811506,2271.4351126716,3204.99118528089
"62",17427,1172.51215811506,2271.4351126716,3204.99118528089
"63",17428,952.666128468486,1961.69396094366,1994.21673750811
"64",17429,1025.94813835068,1961.69396094366,2065.43876384768
"65",17430,1025.94813835068,1961.69396094366,2065.43876384768
"66",17431,1025.94813835068,1961.69396094366,2065.43876384768
"67",17432,1025.94813835068,1961.69396094366,2065.43876384768
"68",17433,1025.94813835068,1961.69396094366,2065.43876384768
"69",17434,1025.94813835068,1961.69396094366,2065.43876384768
"70",17435,439.692059293147,1600.32928392772,1139.5524214332
"71",17436,439.692059293147,1600.32928392772,1139.5524214332
"72",17437,439.692059293147,1600.32928392772,1139.5524214332
"73",17438,439.692059293147,1600.32928392772,1139.5524214332
"74",17439,439.692059293147,1600.32928392772,1068.33039509363
"75",17440,439.692059293147,1600.32928392772,1068.33039509363
"76",17441,439.692059293147,1600.32928392772,997.108368754054
"77",17442,439.692059293147,1600.32928392772,925.886342414478
"78",17443,439.692059293147,1548.70575863973,925.886342414478
"79",17444,439.692059293147,1497.08223335174,854.664316074903
"80",17445,439.692059293147,1497.08223335174,854.664316074903
