"","","simu_attra_ER","simu_attra_PS","simu_attra_EH"
"1",17366,350.013434345257,231.351344983096,180.255269921547
"2",17367,453.049468042503,263.140368865509,226.493627599744
"3",17368,519.487542343327,272.537455621483,249.316577143315
"4",17369,607.933678522007,296.793237007373,283.694179845457
"5",17370,695.70975943287,321.277884985802,318.187384180806
"6",17371,782.101475026978,344.729635091978,350.79879610683
"7",17372,867.262866622456,363.441598934491,357.498612150893
"8",17373,869.911612662257,368.684635463054,398.084095009082
"9",17374,876.930057998988,374.735321908596,437.717412017422
"10",17375,881.081835001384,371.206900741275,447.76884343639
"11",17376,883.990193148465,367.329238634856,457.969266829112
"12",17377,886.190974797772,357.987271121845,466.276731268969
"13",17378,887.345561660158,347.822663602707,472.45670918966
"14",17379,888.079752687815,337.228188983078,477.059337038648
"15",17380,981.79188101808,401.631080566844,519.786986935321
"16",17381,1070.14162624455,464.660749050556,561.212829011931
"17",17382,1128.49891599561,461.558787364756,558.258856290939
"18",17383,1187.5489458318,467.472458525974,554.814866451067
"19",17384,1246.47339661642,473.032771249534,547.952098698853
"20",17385,1300.91152409367,465.222053461312,538.365945142445
"21",17386,1371.23438692771,505.486838131198,574.77003629838
"22",17387,1450.92544797083,490.62351481094,619.104795914706
"23",17388,1529.69730743338,471.794830990174,664.660919507602
"24",17389,1604.50228818435,453.323833441108,695.632476854308
"25",17390,1679.28702414357,434.593601748062,728.582950452491
"26",17391,1753.78228493955,415.675322782249,762.657574969917
"27",17392,1828.27875975318,396.64187798021,798.096093641102
"28",17393,1908.47014307746,377.567017771366,836.833571441053
"29",17394,1867.54188354477,375.915233694721,855.26242470862
"30",17395,1798.01848562637,365.86144685664,820.195438815331
"31",17396,1730.73297966525,345.821031587247,789.446710279708
"32",17397,1662.62461657735,346.284407735056,758.381277042013
"33",17398,1593.8946807948,365.615982761935,727.088814723813
"34",17399,1524.7511703783,383.603755163384,709.403930830699
"35",17400,1455.40732968464,381.984147074392,695.356813165506
"36",17401,1386.08007028601,361.065623231411,670.095056395275
"37",17402,1316.98828738649,342.345073567274,637.566358965322
"38",17403,1248.35108296862,324.021811897041,605.944388694673
"39",17404,1180.38591131816,306.132668245976,846.60607476217
"40",17405,1113.30666718274,288.710418688849,1079.68900548359
"41",17406,1094.14223135275,271.783810477352,1309.7770458875
"42",17407,1024.80462718732,255.377635971211,1538.18483241609
"43",17408,960.990873112819,247.136067292827,1806.45495394661
"44",17409,898.788956901215,351.158523044749,2069.30425969099
"45",17410,838.364924471279,446.857336426285,2329.07665950389
"46",17411,779.870713390375,535.272645720395,2428.37181702463
"47",17412,723.442762908811,622.882874250902,2535.91902183912
"48",17413,669.200823533833,709.75013111911,2641.72749897466
"49",17414,617.246993776468,795.412155661618,2745.18188177003
"50",17415,567.665006731208,879.558669270427,2846.3625863262
"51",17416,610.303211923569,1378.32437113605,3390.68516476034
"52",17417,695.146643319387,1857.78121560367,3910.48852464053
"53",17418,772.136596258364,1910.34207585443,4104.98469359081
"54",17419,848.332243506101,1988.85817429178,4316.59427120254
"55",17420,923.878329998173,2065.96950231724,4524.82027952605
"56",17421,998.286416452935,2139.22464944347,4721.96440785394
"57",17422,1071.3235335659,2148.5958646241,4566.47862784752
"58",17423,1097.18844585488,2086.37648763484,4424.52481836769
"59",17424,1124.61576864993,2028.18463447723,4279.32792959897
"60",17425,1081.81039843454,2019.65280616146,4130.65772398465
"61",17426,1039.59573473795,2006.68978349393,3978.49002538533
"62",17427,998.610452394559,1935.92011767326,3823.27602977853
"63",17428,958.248512798158,1867.90589364209,3665.5201349656
"64",17429,918.445877835924,1798.05167285669,3505.75693916802
"65",17430,877.90449768141,1725.57861224713,3344.03105441607
"66",17431,837.995619778881,1651.83924427017,3181.51323306789
"67",17432,799.106909854007,1578.0491564369,3019.44226852655
"68",17433,771.443530501054,1609.88055621619,2857.81859602635
"69",17434,769.46307827113,1673.20907437259,2697.27360818816
"70",17435,728.401171687197,1581.96069448552,2538.43259524848
"71",17436,690.822954081893,1502.95721805078,2381.26556238323
"72",17437,653.632493001176,1424.91889051225,2226.93085345211
"73",17438,617.0346237367,1347.47445782902,2076.14582846537
"74",17439,581.128926933714,1270.81960715564,1929.66206972943
"75",17440,545.914552273734,1195.265054093,1787.72811508418
"76",17441,511.454574330476,1121.10660254436,1650.77839419843
"77",17442,477.813819341433,1048.621600243,1519.19768624589
"78",17443,444.987785439101,978.065815637513,1393.29211693645
"79",17444,414.754343016752,909.4376794093,1273.65302758696
"80",17445,385.835735946865,843.305864412556,1160.91906634247
