"";"date";"larves";"inflos_vivantes";"inflos_mortes";"larves_inflos";"Bloc";"Sol"
"1";2017-07-18;15,6;51;NA;0,305882352941176;"Bloc 1";"enh.ras"
"2";2017-07-25;29,7142857142857;194;NA;0,153166421207658;"Bloc 1";"enh.ras"
"3";2017-08-01;90,3333333333333;221;NA;0,408748114630468;"Bloc 1";"enh.ras"
"4";2017-08-08;305,613636363636;352;NA;0,86822055785124;"Bloc 1";"enh.ras"
"5";2017-08-16;1496,9880952381;519;41;2,88437012569961;"Bloc 1";"enh.ras"
"6";2017-08-18;571,635964912281;535;50;1,06847843908838;"Bloc 1";"enh.ras"
"7";2017-08-23;1196,16666666667;378;57;3,16446208112875;"Bloc 1";"enh.ras"
"8";2017-08-25;247,535714285714;343;89;0,721678467305289;"Bloc 1";"enh.ras"
"9";2017-08-29;201,75873015873;385;204;0,524048649762935;"Bloc 1";"enh.ras"
"10";2017-09-01;99,1301587301587;286;188;0,346608946608947;"Bloc 1";"enh.ras"
"11";2017-09-06;1389,82142857143;229;221;6,0690892077355;"Bloc 1";"enh.ras"
"12";2017-09-08;333,772222222222;248;216;1,34585573476703;"Bloc 1";"enh.ras"
"13";2017-09-13;868,504761904762;313;198;2,77477559713981;"Bloc 1";"enh.ras"
"14";2017-09-15;539,523484848485;322;125;1,67553877282138;"Bloc 1";"enh.ras"
"15";2017-09-20;2646,92857142857;307;163;8,62191717077711;"Bloc 1";"enh.ras"
"16";2017-09-22;458,466666666667;186;254;2,46487455197133;"Bloc 1";"enh.ras"
"17";2017-09-26;412,52380952381;281;187;1,46805626165057;"Bloc 1";"enh.ras"
"18";2017-09-29;23;209;252;0,110047846889952;"Bloc 1";"enh.ras"
"19";2017-10-03;23,3333333333333;156;203;0,14957264957265;"Bloc 1";"enh.ras"
"20";2017-10-06;7,2;51;283;0,141176470588235;"Bloc 1";"enh.ras"
