Date;Tmin;Tmax;Tmoy
18/07/18;20,66;22,86;21,7551716666667
19/07/18;20,33;22,97;21,5947370833333
20/07/18;21,15;23,30;22,0761729166667
21/07/18;21,08;23,87;22,25458875
22/07/18;20,96;23,74;22,2855183333333
23/07/18;20,85;23,38;22,08818625
24/07/18;20,69;23,61;22,14149625
25/07/18;21,69;24,23;22,8501608333333
26/07/18;21,78;24,45;22,9220595833333
27/07/18;21,98;24,50;23,0788420833333
28/07/18;21,71;24,58;23,0720920833333
29/07/18;22,06;24,49;23,2143766666667
30/07/18;21,49;24,24;22,8514566666667
31/07/18;21,42;23,83;22,56896
01/08/18;21,09;23,62;22,28551125
02/08/18;20,54;22,11;21,3373716666667
03/08/18;20,33;22,76;21,42772
04/08/18;20,10;22,54;21,21090625
05/08/18;19,77;22,76;21,1382295833333
06/08/18;20,15;22,85;21,3849495833333
07/08/18;20,68;23,43;21,7542579166667
08/08/18;21,29;23,40;22,15478625
09/08/18;21,26;23,38;22,14545625
10/08/18;20,57;23,41;21,8881829166667
11/08/18;20,84;23,38;22,0027691666667
12/08/18;20,99;24,03;22,3380379166667
13/08/18;21,25;23,63;22,29808875
14/08/18;20,68;22,84;21,8004125
15/08/18;20,94;23,58;22,1807866666667
16/08/18;20,97;24,01;22,2984729166667
17/08/18;21,56;24,41;22,8945091666667
18/08/18;22,08;24,55;23,1990970833333
19/08/18;21,61;24,10;22,77192625
20/08/18;21,09;24,01;22,51785
21/08/18;21,61;24,51;22,958345
22/08/18;21,43;23,72;22,544675
23/08/18;21,02;23,98;22,3040545833333
24/08/18;20,86;24,47;22,59729625
25/08/18;21,97;25,08;23,3923116666667
26/08/18;21,86;25,11;23,3478791666667
27/08/18;21,63;24,40;22,96017125
28/08/18;21,43;24,33;22,698315
29/08/18;21,85;24,63;23,2158695833333
30/08/18;19,96;24,02;22,0479125
31/08/18;21,35;23,99;22,5964766666667
01/09/18;21,60;24,19;22,8796758333333
02/09/18;22,08;24,58;23,2200866666667
03/09/18;22,47;24,94;23,5549008333333
04/09/18;22,04;24,54;23,3453770833333
05/09/18;22,12;24,42;23,12186625
06/09/18;21,39;23,64;22,3662025
07/09/18;20,74;23,53;22,0816758333333
08/09/18;20,75;23,83;22,2027058333333
09/09/18;20,78;24,15;22,39057875
10/09/18;21,26;24,14;22,5473533333333
11/09/18;21,10;23,80;22,3646333333333
12/09/18;21,40;24,35;22,6910695833333
13/09/18;21,11;24,63;22,7251445833333
14/09/18;21,66;24,65;23,0299104166667
15/09/18;21,42;25,06;22,99463625
16/09/18;22,24;24,87;23,18815
17/09/18;21,25;23,36;22,3904779166667
18/09/18;21,66;23,88;22,6878441666667
19/09/18;21,59;24,00;22,7045279166667
20/09/18;21,14;24,07;22,59376875
21/09/18;21,41;23,65;22,5087045833333
22/09/18;21,14;23,35;22,2444833333333
23/09/18;20,94;24,83;22,6376879166667
24/09/18;21,42;24,01;22,7051370833333
25/09/18;21,06;25,02;22,80103
26/09/18;21,55;24,72;23,149895
27/09/18;22,22;24,56;23,3197075
28/09/18;21,79;24,84;23,21845
29/09/18;22,17;23,87;22,98940875
30/09/18;21,25;24,18;22,69067
01/10/18;21,92;24,38;22,9339895833333
02/10/18;21,12;26,29;23,15732375
03/10/18;21,46;24,43;22,91580375
04/10/18;21,28;26,65;23,2360429166667
05/10/18;21,87;27,49;24,04869125
06/10/18;21,45;26,02;23,4423108333333
