"","date","inflos","Sol"
"1",2017-07-18,2,"ER"
"2",2017-07-19,3,"ER"
"3",2017-07-20,3,"ER"
"4",2017-07-21,3,"ER"
"5",2017-07-22,3,"ER"
"6",2017-07-23,3,"ER"
"7",2017-07-24,5,"ER"
"8",2017-07-25,6,"ER"
"9",2017-07-26,8,"ER"
"10",2017-07-27,8,"ER"
"11",2017-07-28,10,"ER"
"12",2017-07-29,11,"ER"
"13",2017-07-30,12,"ER"
"14",2017-07-31,12,"ER"
"15",2017-08-01,12,"ER"
"16",2017-08-02,16,"ER"
"17",2017-08-03,16,"ER"
"18",2017-08-04,19,"ER"
"19",2017-08-05,19,"ER"
"20",2017-08-06,19,"ER"
"21",2017-08-07,22,"ER"
"22",2017-08-08,23,"ER"
"23",2017-08-09,23,"ER"
"24",2017-08-10,25,"ER"
"25",2017-08-11,26,"ER"
"26",2017-08-12,27,"ER"
"27",2017-08-13,27,"ER"
"28",2017-08-14,27,"ER"
"29",2017-08-15,27,"ER"
"30",2017-08-16,27,"ER"
"31",2017-08-17,27,"ER"
"32",2017-08-18,29,"ER"
"33",2017-08-19,30,"ER"
"34",2017-08-20,30,"ER"
"35",2017-08-21,31,"ER"
"36",2017-08-22,31,"ER"
"37",2017-08-23,32,"ER"
"38",2017-08-24,32,"ER"
"39",2017-08-25,33,"ER"
"40",2017-08-26,35,"ER"
"41",2017-08-27,35,"ER"
"42",2017-08-28,35,"ER"
"43",2017-08-29,35,"ER"
"44",2017-08-30,35,"ER"
"45",2017-08-31,35,"ER"
"46",2017-09-01,37,"ER"
"47",2017-09-02,38,"ER"
"48",2017-09-03,39,"ER"
"49",2017-09-04,40,"ER"
"50",2017-09-05,41,"ER"
"51",2017-09-06,25,"ER"
"52",2017-09-07,27,"ER"
"53",2017-09-08,28,"ER"
"54",2017-09-09,28,"ER"
"55",2017-09-10,28,"ER"
"56",2017-09-11,28,"ER"
"57",2017-09-12,28,"ER"
"58",2017-09-13,23,"ER"
"59",2017-09-14,23,"ER"
"60",2017-09-15,23,"ER"
"61",2017-09-16,23,"ER"
"62",2017-09-17,23,"ER"
"63",2017-09-18,23,"ER"
"64",2017-09-19,23,"ER"
"65",2017-09-20,18,"ER"
"66",2017-09-21,18,"ER"
"67",2017-09-22,18,"ER"
"68",2017-09-23,18,"ER"
"69",2017-09-24,18,"ER"
"70",2017-09-25,18,"ER"
"71",2017-09-26,16,"ER"
"72",2017-09-27,16,"ER"
"73",2017-09-28,16,"ER"
"74",2017-09-29,16,"ER"
"75",2017-09-30,16,"ER"
"76",2017-10-01,16,"ER"
"77",2017-10-02,16,"ER"
"78",2017-10-03,7,"ER"
"79",2017-07-18,4,"PS"
"80",2017-07-19,5,"PS"
"81",2017-07-20,5,"PS"
"82",2017-07-21,5,"PS"
"83",2017-07-22,5,"PS"
"84",2017-07-23,5,"PS"
"85",2017-07-24,5,"PS"
"86",2017-07-25,5,"PS"
"87",2017-07-26,6,"PS"
"88",2017-07-27,7,"PS"
"89",2017-07-28,7,"PS"
"90",2017-07-29,7,"PS"
"91",2017-07-30,7,"PS"
"92",2017-07-31,7,"PS"
"93",2017-08-01,7,"PS"
"94",2017-08-02,8,"PS"
"95",2017-08-03,9,"PS"
"96",2017-08-04,12,"PS"
"97",2017-08-05,13,"PS"
"98",2017-08-06,15,"PS"
"99",2017-08-07,17,"PS"
"100",2017-08-08,18,"PS"
"101",2017-08-09,18,"PS"
"102",2017-08-10,18,"PS"
"103",2017-08-11,19,"PS"
"104",2017-08-12,19,"PS"
"105",2017-08-13,19,"PS"
"106",2017-08-14,19,"PS"
"107",2017-08-15,19,"PS"
"108",2017-08-16,19,"PS"
"109",2017-08-17,19,"PS"
"110",2017-08-18,23,"PS"
"111",2017-08-19,24,"PS"
"112",2017-08-20,25,"PS"
"113",2017-08-21,25,"PS"
"114",2017-08-22,25,"PS"
"115",2017-08-23,25,"PS"
"116",2017-08-24,25,"PS"
"117",2017-08-25,25,"PS"
"118",2017-08-26,26,"PS"
"119",2017-08-27,26,"PS"
"120",2017-08-28,26,"PS"
"121",2017-08-29,26,"PS"
"122",2017-08-30,26,"PS"
"123",2017-08-31,26,"PS"
"124",2017-09-01,28,"PS"
"125",2017-09-02,28,"PS"
"126",2017-09-03,28,"PS"
"127",2017-09-04,29,"PS"
"128",2017-09-05,30,"PS"
"129",2017-09-06,14,"PS"
"130",2017-09-07,16,"PS"
"131",2017-09-08,18,"PS"
"132",2017-09-09,19,"PS"
"133",2017-09-10,21,"PS"
"134",2017-09-11,22,"PS"
"135",2017-09-12,24,"PS"
"136",2017-09-13,22,"PS"
"137",2017-09-14,22,"PS"
"138",2017-09-15,22,"PS"
"139",2017-09-16,22,"PS"
"140",2017-09-17,24,"PS"
"141",2017-09-18,24,"PS"
"142",2017-09-19,24,"PS"
"143",2017-09-20,20,"PS"
"144",2017-09-21,20,"PS"
"145",2017-09-22,20,"PS"
"146",2017-09-23,20,"PS"
"147",2017-09-24,20,"PS"
"148",2017-09-25,20,"PS"
"149",2017-09-26,16,"PS"
"150",2017-09-27,16,"PS"
"151",2017-09-28,16,"PS"
"152",2017-09-29,16,"PS"
"153",2017-09-30,16,"PS"
"154",2017-10-01,16,"PS"
"155",2017-10-02,16,"PS"
"156",2017-10-03,7,"PS"
"157",2017-07-18,7,"EH"
"158",2017-07-19,11,"EH"
"159",2017-07-20,12,"EH"
"160",2017-07-21,14,"EH"
"161",2017-07-22,15,"EH"
"162",2017-07-23,17,"EH"
"163",2017-07-24,17,"EH"
"164",2017-07-25,18,"EH"
"165",2017-07-26,18,"EH"
"166",2017-07-27,19,"EH"
"167",2017-07-28,20,"EH"
"168",2017-07-29,21,"EH"
"169",2017-07-30,25,"EH"
"170",2017-07-31,28,"EH"
"171",2017-08-01,29,"EH"
"172",2017-08-02,40,"EH"
"173",2017-08-03,41,"EH"
"174",2017-08-04,42,"EH"
"175",2017-08-05,42,"EH"
"176",2017-08-06,42,"EH"
"177",2017-08-07,50,"EH"
"178",2017-08-08,50,"EH"
"179",2017-08-09,51,"EH"
"180",2017-08-10,52,"EH"
"181",2017-08-11,52,"EH"
"182",2017-08-12,52,"EH"
"183",2017-08-13,52,"EH"
"184",2017-08-14,52,"EH"
"185",2017-08-15,52,"EH"
"186",2017-08-16,52,"EH"
"187",2017-08-17,52,"EH"
"188",2017-08-18,53,"EH"
"189",2017-08-19,53,"EH"
"190",2017-08-20,53,"EH"
"191",2017-08-21,54,"EH"
"192",2017-08-22,55,"EH"
"193",2017-08-23,56,"EH"
"194",2017-08-24,58,"EH"
"195",2017-08-25,58,"EH"
"196",2017-08-26,62,"EH"
"197",2017-08-27,62,"EH"
"198",2017-08-28,62,"EH"
"199",2017-08-29,62,"EH"
"200",2017-08-30,62,"EH"
"201",2017-08-31,62,"EH"
"202",2017-09-01,66,"EH"
"203",2017-09-02,67,"EH"
"204",2017-09-03,68,"EH"
"205",2017-09-04,70,"EH"
"206",2017-09-05,70,"EH"
"207",2017-09-06,43,"EH"
"208",2017-09-07,45,"EH"
"209",2017-09-08,47,"EH"
"210",2017-09-09,49,"EH"
"211",2017-09-10,50,"EH"
"212",2017-09-11,51,"EH"
"213",2017-09-12,52,"EH"
"214",2017-09-13,42,"EH"
"215",2017-09-14,42,"EH"
"216",2017-09-15,42,"EH"
"217",2017-09-16,42,"EH"
"218",2017-09-17,42,"EH"
"219",2017-09-18,42,"EH"
"220",2017-09-19,42,"EH"
"221",2017-09-20,35,"EH"
"222",2017-09-21,35,"EH"
"223",2017-09-22,35,"EH"
"224",2017-09-23,35,"EH"
"225",2017-09-24,35,"EH"
"226",2017-09-25,35,"EH"
"227",2017-09-26,20,"EH"
"228",2017-09-27,20,"EH"
"229",2017-09-28,20,"EH"
"230",2017-09-29,20,"EH"
"231",2017-09-30,20,"EH"
"232",2017-10-01,20,"EH"
"233",2017-10-02,20,"EH"
"234",2017-10-03,7,"EH"
"235",2017-07-18,11,"all"
"236",2017-07-19,17,"all"
"237",2017-07-20,18,"all"
"238",2017-07-21,20,"all"
"239",2017-07-22,21,"all"
"240",2017-07-23,23,"all"
"241",2017-07-24,25,"all"
"242",2017-07-25,27,"all"
"243",2017-07-26,30,"all"
"244",2017-07-27,32,"all"
"245",2017-07-28,35,"all"
"246",2017-07-29,37,"all"
"247",2017-07-30,42,"all"
"248",2017-07-31,45,"all"
"249",2017-08-01,46,"all"
"250",2017-08-02,62,"all"
"251",2017-08-03,64,"all"
"252",2017-08-04,71,"all"
"253",2017-08-05,72,"all"
"254",2017-08-06,74,"all"
"255",2017-08-07,87,"all"
"256",2017-08-08,89,"all"
"257",2017-08-09,90,"all"
"258",2017-08-10,93,"all"
"259",2017-08-11,95,"all"
"260",2017-08-12,96,"all"
"261",2017-08-13,96,"all"
"262",2017-08-14,96,"all"
"263",2017-08-15,96,"all"
"264",2017-08-16,96,"all"
"265",2017-08-17,96,"all"
"266",2017-08-18,103,"all"
"267",2017-08-19,105,"all"
"268",2017-08-20,106,"all"
"269",2017-08-21,108,"all"
"270",2017-08-22,109,"all"
"271",2017-08-23,111,"all"
"272",2017-08-24,113,"all"
"273",2017-08-25,114,"all"
"274",2017-08-26,119,"all"
"275",2017-08-27,119,"all"
"276",2017-08-28,119,"all"
"277",2017-08-29,119,"all"
"278",2017-08-30,119,"all"
"279",2017-08-31,119,"all"
"280",2017-09-01,123,"all"
"281",2017-09-02,125,"all"
"282",2017-09-03,127,"all"
"283",2017-09-04,131,"all"
"284",2017-09-05,133,"all"
"285",2017-09-06,70,"all"
"286",2017-09-07,76,"all"
"287",2017-09-08,81,"all"
"288",2017-09-09,84,"all"
"289",2017-09-10,87,"all"
"290",2017-09-11,89,"all"
"291",2017-09-12,92,"all"
"292",2017-09-13,75,"all"
"293",2017-09-14,75,"all"
"294",2017-09-15,75,"all"
"295",2017-09-16,75,"all"
"296",2017-09-17,77,"all"
"297",2017-09-18,77,"all"
"298",2017-09-19,77,"all"
"299",2017-09-20,61,"all"
"300",2017-09-21,61,"all"
"301",2017-09-22,61,"all"
"302",2017-09-23,61,"all"
"303",2017-09-24,61,"all"
"304",2017-09-25,61,"all"
"305",2017-09-26,38,"all"
"306",2017-09-27,38,"all"
"307",2017-09-28,38,"all"
"308",2017-09-29,38,"all"
"309",2017-09-30,38,"all"
"310",2017-10-01,38,"all"
"311",2017-10-02,38,"all"
"312",2017-10-03,7,"all"
